ID,Timestamp,Identifier,Junona ID,Telegram ID,Status,Review
1,2025-06-14 16:07:25,1234,J0001,6148271304,опубликовано,"Мы не продаем, не используем и не раскрываем третьим лицам какие-либо данные своих пользователей для каких-либо целей."
2,2025-06-14 16:20:06,Pppppppp,J0002,5249406291,опубликовано,"Администрация Telegram бота @junona_partner_bot обязуется сохранять вашу конфиденциальность в Интернете. Мы уделяем большое значение охране предоставленных вами данных. Наша политика конфиденциальности основана на требованиях политик конфиденциальности Telegram и магазинов Apple и Google. 
Мы не собираем и не обрабатываем персональные данные пользователей. Наш Telegram бот в целях осуществления работы сервиса использует только неперсонализированный Telegram ID."
3,2025-06-14 16:31:01,Llkhhhs,J0002,5249406291,опубликовано,Kllslhhs
4,2025-06-14 16:45:27,ываываы,J0001,6148271304,отменено,ываыва
5,2025-06-14 16:51:12,фывфывфыв,J0001,6148271304,опубликовано,фывфывфыв
6,2025-06-14 16:53:12,ываывавыа,J0001,6148271304,отменено,ываываыва
7,2025-06-14 16:58:48,Jjsnzhnsnmsmkzks,J0002,5249406291,опубликовано,Kkjsbbsbbsbnnnxooos
8,2025-06-14 17:05:32,Двжвдвдтта,J0002,5249406291,опубликовано,Бвбвбвббвб
9,2025-06-14 17:06:53,Ддвлвлтвтвттвтв,J0002,5249406291,отменено,Твьвьвббвбвбдв
10,2025-06-14 18:54:45,Все круто силосырл,J0005,268102258,отменено,Очень крутой 😎
11,2025-06-14 21:26:16,J0004,J0004,120201117,опубликовано,Всё норм Амиго
